temp,light,count,pycomtime,laptoptime    
2717,126.5,0,5893992,1585147048928818200
2812,127.0,1,6905095,1585147049939584300
2758,126.0,2,7917129,1585147050951053800
2907,127.0,3,8929101,1585147051963358600
2965,126.0,4,9941092,1585147052979123900
2800,124.0,5,10953101,1585147053990646000
2931,125.0,6,11965095,1585147054999155800
2779,126.0,7,12977104,1585147056010684100
2880,125.5,8,13989106,1585147057036032700
2851,125.5,9,15001105,1585147058036057200
2799,126.5,10,16013082,1585147059047299600
2704,125.0,11,17025066,1585147060059020000
2781,127.5,12,18037080,1585147061072054300
2832,127.0,13,19049059,1585147062083164600
2794,126.5,14,20061095,1585147063097883700
2827,127.5,15,21073098,1585147064110044800
2800,127.0,16,22085105,1585147065119813000
2758,127.0,17,23097097,1585147066139656300
2905,127.0,18,24109099,1585147067145912400
2751,126.5,19,25121062,1585147068161311600
3043,126.5,20,26133162,1585147069166726200
2743,126.5,21,27145085,1585147070182554100
2807,127.5,22,28157093,1585147071192637800
2763,126.5,23,29169108,1585147072203837600
2827,127.5,24,30181110,1585147073214451800
2767,127.5,25,31193095,1585147074227079600
2752,126.5,26,32205106,1585147075239059700
2768,126.0,27,33217065,1585147076252091500
2816,126.0,28,34229109,1585147077280775800
2894,127.0,29,35241060,1585147078275775900
2757,127.0,30,36253059,1585147079294834500
2605,126.0,31,37265092,1585147080299127000
2767,126.0,32,38277102,1585147081312833700
2807,126.0,33,39289095,1585147082323539300
2757,126.0,34,40301107,1585147083335060700
2768,126.0,35,41313062,1585147084347064100
2549,126.0,36,42325090,1585147085360944900
2780,127.0,37,43337084,1585147086372168200
2795,125.5,38,44349082,1585147087384062700
2800,124.5,39,45361081,1585147088396050300
2843,125.5,40,46373109,1585147089407838500
2761,125.5,41,47385095,1585147090420694400
2902,125.5,42,48397099,1585147091432240700
3039,125.5,43,49409094,1585147092445037300
2786,127.0,44,50421088,1585147093456025300
2736,127.0,45,51433081,1585147094468050300
2750,126.5,46,52445083,1585147095480003000
2860,126.0,47,53457078,1585147096497814900
2794,127.0,48,54469125,1585147097503031200
2765,127.0,49,55481088,1585147098559896700
2704,126.0,50,56493136,1585147099527375600
2793,126.5,51,57505127,1585147100548283200
2593,128.0,52,58517140,1585147101554335900
3002,126.5,53,59529119,1585147102564081800
2704,127.0,54,60541118,1585147103576078100
2800,127.0,55,61553142,1585147104587958300
2785,126.0,56,62565093,1585147105598664400
2827,126.5,57,63577123,1585147106612827800
2763,126.5,58,64589111,1585147107626522000
3009,127.0,59,65601133,1585147108636134200
2859,126.5,60,66613123,1585147109670365300
2798,126.5,61,67625133,1585147110756841500
2790,126.5,62,68637133,1585147111818995400
2506,126.5,63,69649112,1585147112695152800
2811,126.5,64,70661116,1585147113701878100
2864,125.5,65,71673133,1585147114708276200
2817,126.0,66,72685131,1585147115720269100
2951,125.0,67,73697136,1585147116735453000
2670,125.5,68,74709127,1585147117743874300
2515,124.0,69,75721093,1585147118759542800
2841,122.5,70,76733108,1585147119769843400
2799,120.0,71,77745125,1585147120780162800
2748,120.0,72,78757115,1585147121793626500
2706,86.0,73,79769124,1585147122803517300
2925,91.0,74,80781134,1585147123815512700
3021,72.0,75,81793105,1585147124864834500
2760,74.0,76,82805127,1585147125842974400
2902,34.0,77,83817161,1585147126857647200
2321,30.5,78,84829119,1585147127863642700
2820,61.5,79,85841109,1585147128877429600
2729,39.0,80,86853156,1585147129887430500
2630,23.5,81,87865124,1585147130903809300
2895,64.0,82,88877135,1585147131917595200
3084,67.0,83,89889134,1585147132925824300
2835,50.5,84,90901122,1585147133936820500
2483,23.5,85,91913134,1585147134947822300
2765,0.0,0,5841992,1585147165049856100
2768,154.5,1,6853114,1585147166061789900
2763,39.0,2,7865118,1585147167075794800
2775,37.5,3,8877114,1585147168084808600
2773,31.5,4,9889121,1585147169098878000
2663,179.5,5,10901126,1585147170112802800
2755,193.5,6,11913132,1585147171121818100
2770,195.5,7,12925133,1585147172132887000
2768,208.5,8,13937139,1585147173150783100
2766,208.5,9,14949126,1585147174156736200
2773,208.5,10,15961107,1585147175173769800
2755,209.0,11,16973105,1585147176182794000
2757,209.5,12,17985115,1585147177193797500
2763,209.0,13,18997105,1585147178206798000
2761,209.0,14,20009136,1585147179217390600
2768,209.0,15,21021128,1585147180228816600
2635,209.0,16,22033136,1585147181241064000
2814,208.5,17,23045128,1585147182253779300
2753,208.0,18,24057105,1585147183265721300
2751,208.0,19,25069104,1585147184277614400
2816,208.0,20,26081117,1585147185289847600
2755,208.0,21,27093106,1585147186302806200
2719,208.0,22,28105109,1585147187315806100
2775,208.5,23,29117122,1585147188325301900
2805,208.5,24,30129141,1585147189340300700
2760,208.0,25,31141127,1585147190349757000
2765,208.5,26,32153128,1585147191372892100
2756,208.5,27,33165113,1585147192373892100
2747,208.5,28,34177141,1585147193385895400
2763,208.5,29,35189109,1585147194398891400
2745,208.5,30,36202093,1585147195413892300
2736,208.5,31,37214108,1585147196422580600
2756,208.5,32,38226148,1585147197436840500
2750,208.5,33,39238138,1585147198446742200
2739,208.0,34,40250151,1585147199459839700
2757,208.0,35,41262119,1585147200475836400
2694,207.5,36,42274132,1585147201482596600
2733,207.5,37,43286125,1585147202495146200
2801,207.0,38,44298146,1585147203506895100
2746,207.0,39,45310122,1585147204519037300
2737,206.0,40,46322148,1585147205530038100
2740,206.0,41,47334142,1585147206543568000
2751,205.5,42,48346140,1585147207557250700
2741,206.0,43,49358141,1585147208566727000
2787,206.0,44,50370131,1585147209579622800
2805,206.0,45,51382131,1585147210591622400
2779,206.5,46,52394114,1585147211603622000
2736,206.5,47,53406128,1585147212620809400
2773,206.5,48,54418147,1585147213626888200
2775,206.0,49,55430139,1585147214649887400
2753,205.5,50,56442141,1585147215651887400
2699,205.0,51,57454148,1585147216663886500
2736,205.0,52,58466134,1585147217676589500
2736,205.5,53,59478126,1585147218686830900
2706,205.5,54,60490128,1585147219698648200
2715,206.0,55,61502138,1585147220712745500
2754,206.0,56,62514135,1585147221722055000
2739,206.5,57,63526156,1585147222736919500
2821,206.5,58,64538148,1585147223752924000
2736,207.0,59,65550163,1585147224764931400
2738,207.0,60,66562150,1585147225770687500
2742,207.0,61,67574122,1585147226783711400
2809,207.5,62,68586122,1585147227794712100
2698,207.5,63,69598159,1585147228807611700
2767,207.5,64,70610149,1585147229822833900
2730,207.0,65,71622139,1585147230858594200
2763,207.0,66,72634166,1585147231843368500
2817,207.0,67,73646143,1585147232855493200
2724,207.5,68,74658153,1585147233868511000
2703,207.0,69,75670143,1585147234880555500
2771,207.5,70,76682125,1585147235894418300
2743,208.0,71,77694142,1585147236902742400
2721,208.0,72,78706149,1585147237916759800
2768,208.5,73,79718107,1585147238927761400
2733,209.0,74,80730141,1585147239939790500
2735,209.0,75,81742155,1585147240950977800
2742,208.5,76,82754150,1585147241967978400
2729,208.5,77,83766143,1585147242975978600
