bucket_start_temp,bucket_end_temp,minimum,maximum,average,a,b
,,,,,,
0,5,nan,nan,nan,,
,,,,,,
5,10,nan,nan,nan,,
,,,,,,
10,15,nan,nan,nan,,
,,,,,,
15,20,nan,nan,nan,,
,,,,,,
20,25,26.70472013,27.992409,27.23096248,0.2575,21.554
,,,,,,
25,30,26.70472013,31.97399886,28.28867799,1.0539,0.3583
,,,,,,
30,35,27.27856105,35.7022108,31.42848924,1.6847,-23.263
,,,,,,
35,40,31.00434021,39.15622527,35.48805009,1.6304,-26.059
,,,,,,
40,45,35.94274192,44.72573626,39.69296155,1.7566,-34.321
,,,,,,
45,50,39.8881881,50.27727694,44.11134389,2.0778,-53.614
,,,,,,
50,55,43.55250038,56.90725371,49.35060418,2.3218,-79.307
,,,,,,
55,60,48.39109863,60,56.15954018,2.671,-89.995
,,,,,,
60,65,55.27416138,69,60,2.7452,-109.44
