msg,before,after
msg,before,after
b'2679\r\n',1583310013561970200,1583310013561970200
b'2683\r\n',1583310013561970200,1583310013561970200
b'2690\r\n',1583310013561970200,1583310013561970200
b'2691\r\n',1583310013561970200,1583310013561970200
b'2687\r\n',1583310013561970200,1583310014596109700
b'',1583310014596109700,1583310016611439800
b'2686\r\n',1583310016611439800,1583310017597198400
b'',1583310017597198400,1583310019611529600
b'2690\r\n',1583310019611529600,1583310020596617400
b'',1583310020596617400,1583310022609418500
b'2699\r\n',1583310022609418500,1583310023593882600
b'',1583310023593882600,1583310025610197900
b'2688\r\n',1583310025610197900,1583310026594799400
b'',1583310026594799400,1583310028610341700
b'2695\r\n',1583310028610341700,1583310029598955200
b'',1583310029598955200,1583310031609455200
b'2704\r\n',1583310031609455200,1583310032592771900
b'',1583310032592771900,1583310034592883600
b'2690\r\n',1583310034592883600,1583310035593815200
b'',1583310035593815200,1583310037609238400
b'2691\r\n',1583310037609238400,1583310038593503400
b'',1583310038593503400,1583310040608964000
b'2695\r\n',1583310040608964000,1583310041607492800
b'',1583310041607492800,1583310043608471000
b'2699\r\n',1583310043608471000,1583310044592748000
b'',1583310044592748000,1583310046608565200
b'2688\r\n',1583310046608565200,1583310047608003300
b'',1583310047608003300,1583310049620257500
b'2690\r\n',1583310049620257500,1583310050593060700
b'',1583310050593060700,1583310052607312300
b'2698\r\n',1583310052607312300,1583310053607199700
b'',1583310053607199700,1583310055608213200
b'2695\r\n',1583310055608443800,1583310056607638400
b'',1583310056607638400,1583310058623225900
b'2693\r\n',1583310058623225900,1583310059603572100
b'',1583310059603572100,1583310061604833300
b'2685\r\n',1583310061604833300,1583310062607604100
b'',1583310062607604100,1583310064622352100
b'2702\r\n',1583310064622352100,1583310065607865900
b'',1583310065607865900,1583310067621594900
b'2690\r\n',1583310067621594900,1583310068606325100
b'',1583310068606325100,1583310070621693800
b'2685\r\n',1583310070621693800,1583310071604889800
b'',1583310071604889800,1583310073605690800
b'2691\r\n',1583310073605690800,1583310074592675200
b'',1583310074592675200,1583310076603307700
b'2686\r\n',1583310076603307700,1583310077607951700
b'',1583310077607951700,1583310079620515900
b'2689\r\n',1583310079620515900,1583310080604741400
b'',1583310080604741400,1583310082619030200
b'2685\r\n',1583310082619030200,1583310083604526500
b'',1583310083604526500,1583310085616848500
b'2689\r\n',1583310085616848500,1583310086605334400
b'',1583310086605334400,1583310088619291600
b'2693\r\n',1583310088619291600,1583310089604783300
b'',1583310089604783300,1583310091619002600
b'2689\r\n',1583310091619002600,1583310092603269500
b'',1583310092603269500,1583310094614598900
b'2690\r\n',1583310094614598900,1583310095602699600
b'',1583310095602699600,1583310097618248800
b'2687\r\n',1583310097618248800,1583310098602500000
b'',1583310098602500000,1583310100617808200
b'2700\r\n',1583310100617808200,1583310101602113400
b'',1583310101602113400,1583310103616152200
b'2691\r\n',1583310103616152200,1583310104602081900
b'',1583310104602081900,1583310106617089700
b'2698\r\n',1583310106617089700,1583310107601271800
b'',1583310107601271800,1583310109616754800
b'2688\r\n',1583310109616754800,1583310110601056100
b'',1583310110601056100,1583310112601491600
b'2687\r\n',1583310112601491600,1583310113600215000
b'',1583310113600215000,1583310115615977800
b'2686\r\n',1583310115615977800,1583310116601391100
b'',1583310116601391100,1583310118602115600
b'2677\r\n',1583310118602115600,1583310119602517100
b'',1583310119602517100,1583310121615181900
b'2687\r\n',1583310121615181900,1583310122600671500
b'',1583310122600671500,1583310124614810300
b'2685\r\n',1583310124614810300,1583310125605729600
b'',1583310125605729600,1583310127614423700
b'2679\r\n',1583310127614423700,1583310128598703800
b'',1583310128598703800,1583310130616250800
b'2685\r\n',1583310130616250800,1583310131598986000
b'',1583310131598986000,1583310133601109700
b'2693\r\n',1583310133601109700,1583310134597902200
b'',1583310134597902200,1583310136613276800
b'2687\r\n',1583310136613276800,1583310137601495800
b'',1583310137601495800,1583310139612874500
b'2679\r\n',1583310139612874500,1583310140608607100
b'',1583310140608607100,1583310142612509200
b'2701\r\n',1583310142612509200,1583310143598544100
b'',1583310143598544100,1583310145612113000
b'2681\r\n',1583310145612113000,1583310146597532800
b'',1583310146597532800,1583310148601283000
b'2687\r\n',1583310148601283000,1583310149608757500
b'',1583310149608757500,1583310151611368000
b'2691\r\n',1583310151611368000,1583310152598261000
b'',1583310152598261000,1583310154610858700
b'2688\r\n',1583310154610858700,1583310155594679200
b'',1583310155594679200,1583310157598065400
b'2690\r\n',1583310157598065400,1583310158605387600
b'',1583310158605387600,1583310160610218900
b'2681\r\n',1583310160610218900,1583310161602950600
b'',1583310161602950600,1583310163610169800
b'2690\r\n',1583310163610169800,1583310164595810600
b'',1583310164595810600,1583310166597309600
b'2691\r\n',1583310166597309600,1583310167607388500
b'',1583310167607388500,1583310169609087200
b'2694\r\n',1583310169609087200,1583310170608211900
b'',1583310170608211900,1583310172608679000
b'2697\r\n',1583310172608679000,1583310173609265500
b'',1583310173609265500,1583310175613428300
b'2685\r\n',1583310175613428300,1583310176597282300
b'',1583310176597282300,1583310178607392700
b'2689\r\n',1583310178607392700,1583310179608700500
b'',1583310179608700500,1583310181625701900
b'2688\r\n',1583310181625701900,1583310182608408100
b'',1583310182608408100,1583310184612078100
b'2693\r\n',1583310184612374700,1583310185608120600
b'',1583310185608120600,1583310187619430400
b'2687\r\n',1583310187619626500,1583310188608727600
b'',1583310188608727600,1583310190623112700
b'2699\r\n',1583310190623112700,1583310191607791200
b'',1583310191607791200,1583310193610962900
b'2693\r\n',1583310193611168200,1583310194606827300
b'',1583310194606827300,1583310196624812700
b'2693\r\n',1583310196624812700,1583310197606559100
b'',1583310197606559100,1583310199621724900
b'2688\r\n',1583310199621915000,1583310200603885800
b'',1583310200603885800,1583310202610519300
b'2697\r\n',1583310202610519300,1583310203606894100
b'',1583310203606894100,1583310205621050300
b'2678\r\n',1583310205621050300,1583310206605703700
b'',1583310206605703700,1583310208618143500
b'2691\r\n',1583310208618143500,1583310209604968000
b'',1583310209604968000,1583310211605661100
b'2689\r\n',1583310211605661100,1583310212607436400
b'',1583310212607436400,1583310214619941500
b'2679\r\n',1583310214619941500,1583310215604388600
b'',1583310215604388600,1583310217619633900
b'2694\r\n',1583310217619633900,1583310218598629500
b'',1583310218598629500,1583310220599948400
b'2695\r\n',1583310220599948400,1583310221603488000
b'',1583310221603488000,1583310223608194300
b'2691\r\n',1583310223608194300,1583310224603056200
b'',1583310224603056200,1583310226618596100
b'2694\r\n',1583310226618596100,1583310227603866200
b'',1583310227603866200,1583310229607329100
b'2679\r\n',1583310229607329100,1583310230603278800
b'',1583310230603278800,1583310232617710200
b'2683\r\n',1583310232617710200,1583310233601770200
b'',1583310233601770200,1583310235604589700
b'2704\r\n',1583310235604589700,1583310236602227300
b'',1583310236602227300,1583310238621870600
b'2688\r\n',1583310238621870600,1583310239610106900
b'',1583310239610106900,1583310241610596900
b'2689\r\n',1583310241610596900,1583310242598264200
b'',1583310242598264200,1583310244598522800
b'2686\r\n',1583310244598522800,1583310245601587100
b'',1583310245601587100,1583310247608917700
b'2688\r\n',1583310247608917700,1583310248599713700
b'',1583310248599713700,1583310250603829100
b'2679\r\n',1583310250603829100,1583310251599630200
b'',1583310251599630200,1583310253615036700
b'2693\r\n',1583310253615036700,1583310254601752100
b'',1583310254601752100,1583310256614570900
b'2676\r\n',1583310256614570900,1583310257598480300
b'',1583310257598480300,1583310259614318800
b'2691\r\n',1583310259614318800,1583310260598642300
b'',1583310260598642300,1583310262613873300
b'2691\r\n',1583310262613873300,1583310263598417400
b'',1583310263598417400,1583310265613545500
b'2694\r\n',1583310265613545500,1583310266597744900
b'',1583310266597744900,1583310268614506500
b'2698\r\n',1583310268614506500,1583310269597291600
b'',1583310269597291600,1583310271612744000
b'2697\r\n',1583310271612744000,1583310272597020400
b'',1583310272597020400,1583310274612385500
b'2703\r\n',1583310274612385500,1583310275602476100
b'',1583310275602476100,1583310277612029100
b'2688\r\n',1583310277612029100,1583310278595645200
b'',1583310278595645200,1583310280595881400
b'2689\r\n',1583310280595881400,1583310281595686700
b'',1583310281595686700,1583310283612219400
b'2693\r\n',1583310283612219400,1583310284596625700
b'',1583310284596625700,1583310286610916300
b'2694\r\n',1583310286610916300,1583310287594882700
b'',1583310287594882700,1583310289610420800
b'2687\r\n',1583310289610420800,1583310290610425500
b'',1583310290610425500,1583310292611040600
b'2681\r\n',1583310292611040600,1583310293610026900
b'',1583310293610026900,1583310295625004500
b'2687\r\n',1583310295625004500,1583310296609610000
b'',1583310296609610000,1583310298625954100
b'2685\r\n',1583310298625954100,1583310299606940400
b'',1583310299606940400,1583310301608866900
b'2683\r\n',1583310301608866900,1583310302609165300
b'',1583310302609165300,1583310304624302800
b'2672\r\n',1583310304624302800,1583310305607843000
b'',1583310305607843000,1583310307609003100
b'2688\r\n',1583310307609003100,1583310308609657600
b'',1583310308609657600,1583310310624342400
b'2694\r\n',1583310310624342400,1583310311609821900
b'',1583310311609821900,1583310313614687300
b'2689\r\n',1583310313614687300,1583310314609160800
b'',1583310314609160800,1583310316623911300
b'2693\r\n',1583310316623911300,1583310317609557800
b'',1583310317609557800,1583310319623212900
b'2690\r\n',1583310319623212900,1583310320607740000
b'',1583310320607740000,1583310322623614900
b'2687\r\n',1583310322623614900,1583310323605689800
b'',1583310323605689800,1583310325607126600
b'2683\r\n',1583310325607126600,1583310326608988700
b'',1583310326608988700,1583310328621478900
b'2688\r\n',1583310328621478900,1583310329604572700
b'',1583310329604572700,1583310331617724800
b'2693\r\n',1583310331617724800,1583310332606844000
b'',1583310332606844000,1583310334623001000
b'2689\r\n',1583310334623001000,1583310335609733900
b'',1583310335609733900,1583310337621643300
b'2672\r\n',1583310337621643300,1583310338605224100
b'',1583310338605224100,1583310340606084300
b'2685\r\n',1583310340606084300,1583310341605890200
b'',1583310341605890200,1583310343608509700
b'2676\r\n',1583310343608758300,1583310344602879700
b'',1583310344602879700,1583310346619607600
b'2672\r\n',1583310346619607600,1583310347598229200
b'',1583310347598229200,1583310349602976900
b'2681\r\n',1583310349602976900,1583310350606842400
b'',1583310350606842400,1583310352607474900
b'2684\r\n',1583310352607474900,1583310353601977100
b'',1583310353601977100,1583310355606494600
b'2695\r\n',1583310355606494600,1583310356603940100
b'',1583310356603940100,1583310358614304600
b'2689\r\n',1583310358614304600,1583310359602487300
b'',1583310359602487300,1583310361606448700
b'2694\r\n',1583310361606448700,1583310362601477400
b'',1583310362601477400,1583310364616367600
b'2690\r\n',1583310364616367600,1583310365600641400
b'',1583310365600641400,1583310367602326700
b'2701\r\n',1583310367602326700,1583310368603170800
b'',1583310368603170800,1583310370607773500
b'2683\r\n',1583310370607773500,1583310371602761200
b'',1583310371602761200,1583310373617223200
b'2687\r\n',1583310373617223200,1583310374602062400
b'',1583310374602062400,1583310376617334000
b'2695\r\n',1583310376617334000,1583310377601781500
b'',1583310377601781500,1583310379605930600
b'2689\r\n',1583310379605930600,1583310380599794800
b'',1583310380599794800,1583310382615137100
b'2690\r\n',1583310382615137100,1583310383600129800
b'',1583310383600129800,1583310385614167500
b'2683\r\n',1583310385614167500,1583310386608695200
b'',1583310386608695200,1583310388609552900
b'2688\r\n',1583310388609552900,1583310389597740500
b'',1583310389597740500,1583310391613545800
b'2689\r\n',1583310391613545800,1583310392598398400
b'',1583310392598398400,1583310394614129000
