before,msg,after
1582727409.5260148,b'',1582727411.5386002
1582727411.5386002,b'',1582727413.554218
1582727413.554218,b'1\r\n',1582727414.02297
1582727414.02297,b'0\r\n',1582727415.0073497
1582727415.0073497,b'1\r\n',1582727415.9760966
1582727415.9760966,b'0\r\n',1582727416.9604695
1582727416.9604695,b'0\r\n',1582727417.9448795
1582727417.9448795,b'1\r\n',1582727418.429441
1582727418.429441,b'0\r\n',1582727419.398225
1582727419.398225,b'1\r\n',1582727420.3825974
1582727420.3825974,b'0\r\n',1582727421.366752
1582727421.366752,b'1\r\n',1582727422.335724
1582727422.335724,b'0\r\n',1582727423.3201063
1582727423.3201063,b'1\r\n',1582727424.2888505
1582727424.2888505,b'0\r\n',1582727425.2732222
1582727425.2732222,b'1\r\n',1582727426.2575986
1582727426.2575986,b'0\r\n',1582727427.2342153
1582727427.2342153,b'1\r\n',1582727428.202966
1582727428.202966,b'0\r\n',1582727429.1873446
1582727429.1873446,b'1\r\n',1582727430.1648812
1582727430.1648812,b'0\r\n',1582727431.1492555
1582727431.1492555,b'1\r\n',1582727432.1180031
1582727432.1180031,b'0\r\n',1582727433.1023848
1582727433.1023848,b'0\r\n',1582727434.071136
1582727434.071136,b'1\r\n',1582727434.57113
1582727434.57113,b'0\r\n',1582727435.5398889
1582727435.5398889,b'1\r\n',1582727436.5208893
1582727436.5208893,b'0\r\n',1582727437.5052593
1582727437.5052593,b'1\r\n',1582727438.4894202
1582727438.4894202,b'0\r\n',1582727439.4582963
1582727439.4582963,b'1\r\n',1582727440.4376495
1582727440.4376495,b'0\r\n',1582727441.405879
1582727441.405879,b'1\r\n',1582727442.3902493
1582727442.3902493,b'0\r\n',1582727443.3744817
1582727443.3744817,b'1\r\n',1582727444.3433619
1582727444.3433619,b'0\r\n',1582727445.3190856
1582727445.3190856,b'1\r\n',1582727446.3034596
1582727446.3034596,b'0\r\n',1582727447.2722094
1582727447.2722094,b'1\r\n',1582727448.256583
1582727448.256583,b'0\r\n',1582727449.2407746
1582727449.2407746,b'1\r\n',1582727450.6940792
1582727450.6940792,b'0\r\n',1582727451.678459
1582727451.678459,b'1\r\n',1582727452.6628344
1582727452.6628344,b'0\r\n',1582727453.631592
1582727453.631592,b'1\r\n',1582727454.6159573
1582727454.6159573,b'0\r\n',1582727455.584707
1582727455.584707,b'1\r\n',1582727456.5690863
1582727456.5690863,b'0\r\n',1582727457.5534623
1582727457.5534623,b'1\r\n',1582727458.522205
1582727458.522205,b'0\r\n',1582727459.5063622
1582727459.5063622,b'1\r\n',1582727460.4753282
