Before_send,After_send,Message,msg,before,after,Diff
1582879100,1582879100,1,1,1582879098,1582879100,0.081629992
1582879101,1582879101,0,0,1582879100,1582879101,0.058239937
1582879102,1582879102,1,1,1582879101,1582879102,0.070950031
1582879103,1582879103,0,0,1582879102,1582879103,0.080220222
1582879104,1582879104,1,1,1582879103,1582879104,0.064749956
1582879105,1582879105,0,0,1582879104,1582879105,0.081640005
1582879106,1582879106,1,1,1582879105,1582879106,0.06614995
1582879107,1582879107,0,0,1582879106,1582879107,0.069249868
1582879108,1582879108,1,1,1582879107,1582879108,0.091529846
1582879109,1582879109,0,0,1582879108,1582879109,0.080310106
1582879110,1582879110,1,1,1582879109,1582879110,0.091170073
1582879111,1582879111,0,0,1582879110,1582879111,0.080579996
1582879112,1582879112,1,1,1582879111,1582879112,0.095920086
1582879113,1582879113,0,0,1582879112,1582879113,0.046789885
1582879114,1582879114,1,1,1582879113,1582879114,0.060420036
1582879115,1582879115,0,0,1582879114,1582879115,0.080229998
1582879116,1582879116,1,1,1582879115,1582879116,0.072790146
1582879117,1582879117,0,0,1582879116,1582879117,0.088020086
1582879118,1582879118,1,1,1582879117,1582879118,0.053910017
1582879119,1582879119,0,0,1582879118,1582879119,0.080480099
1582879120,1582879120,1,1,1582879119,1582879120,0.050690174
1582879121,1582879121,0,0,1582879120,1582879121,0.080280066
1582879122,1582879122,1,1,1582879121,1582879122,0.093989849
1582879123,1582879123,0,0,1582879122,1582879123,0.064929962
1582879124,1582879124,1,1,1582879123,1582879124,0.080369949
1582879125,1582879125,0,0,1582879124,1582879125,0.064579964
1582879126,1582879126,1,1,1582879125,1582879126,0.081719875
1582879127,1582879127,0,0,1582879126,1582879127,0.050110102
1582879128,1582879128,1,1,1582879127,1582879128,0.06926012
1582879129,1582879129,0,0,1582879128,1582879129,0.081509829
1582879130,1582879130,1,1,1582879129,1582879130,0.062559843
1582879131,1582879131,0,0,1582879130,1582879131,0.069929838
1582879132,1582879132,1,1,1582879131,1582879132,0.046930075
1582879133,1582879133,0,0,1582879132,1582879133,0.056999922
1582879134,1582879134,1,1,1582879133,1582879134,0.09141016
1582879135,1582879135,0,0,1582879134,1582879135,0.06471014
1582879136,1582879136,1,1,1582879135,1582879136,0.09078002
1582879137,1582879137,0,0,1582879136,1582879137,0.048330069
1582879138,1582879138,1,1,1582879137,1582879138,0.075590134
1582879139,1582879139,0,0,1582879138,1582879139,0.057579994
1582879140,1582879140,1,1,1582879139,1582879140,0.069910049
1582879141,1582879141,0,0,1582879140,1582879141,0.092530012
1582879142,1582879142,1,1,1582879141,1582879142,0.059170008
1582879143,1582879143,0,0,1582879142,1582879143,0.083960056
1582879144,1582879144,1,1,1582879143,1582879144,0.064760208
1582879145,1582879145,0,0,1582879144,1582879145,0.08059001
1582879146,1582879146,1,1,1582879145,1582879146,0.064260006
1582879147,1582879147,0,0,1582879146,1582879147,0.065030098
1582879148,1582879148,1,1,1582879147,1582879148,0.101739883
1582879149,1582879149,0,0,1582879148,1582879149,0.062489986
1582879150,1582879150,1,1,1582879149,1582879150,0.093300104
1582879151,1582879151,0,0,1582879150,1582879151,0.048110008
1582879152,1582879152,1,1,1582879151,1582879152,0.083580017
1582879153,1582879153,0,0,1582879152,1582879153,0.049329996
1582879154,1582879154,1,1,1582879153,1582879154,0.071480036
1582879155,1582879155,0,0,1582879154,1582879155,0.049139977
1582879156,1582879156,1,1,1582879155,1582879156,0.083439827
1582879157,1582879157,0,0,1582879156,1582879157,0.085309982
1582879158,1582879158,1,1,1582879157,1582879158,0.055670023
1582879159,1582879159,0,0,1582879158,1582879159,0.070090055
1582879160,1582879160,1,1,1582879159,1582879160,0.06566
1582879161,1582879161,0,0,1582879160,1582879161,0.08130002
1582879162,1582879162,1,1,1582879161,1582879162,0.055789948
1582879163,1582879163,0,0,1582879162,1582879163,0.088700056
1582879164,1582879164,1,1,1582879163,1582879164,0.057089806
1582879165,1582879165,0,0,1582879164,1582879165,0.086560011
1582879166,1582879166,1,1,1582879165,1582879166,0.065819979
1582879167,1582879167,0,0,1582879166,1582879167,0.07314992
1582879168,1582879168,1,1,1582879167,1582879168,0.097069979
1582879169,1582879169,0,0,1582879168,1582879169,0.07359004
1582879170,1582879170,1,1,1582879169,1582879170,0.06753993
1582879171,1582879171,0,0,1582879170,1582879171,0.080289841
1582879172,1582879172,1,1,1582879171,1582879172,0.09506011
1582879173,1582879173,0,0,1582879172,1582879173,0.049119949
1582879174,1582879174,1,1,1582879173,1582879174,0.082049847
1582879175,1582879175,0,0,1582879174,1582879175,0.087279797
1582879176,1582879176,1,1,1582879175,1582879176,0.064899921
1582879177,1582879177,0,0,1582879176,1582879177,0.081880093
1582879178,1582879178,1,1,1582879177,1582879178,0.053910017
1582879179,1582879179,0,0,1582879178,1582879179,0.059020042
1582879180,1582879180,1,1,1582879179,1582879180,0.081880093
1582879181,1582879181,0,0,1582879180,1582879181,0.049110174
1582879182,1582879182,1,1,1582879181,1582879182,0.083349943
1582879183,1582879183,0,0,1582879182,1582879183,0.095870018
1582879184,1582879184,1,1,1582879183,1582879184,0.0625
1582879185,1582879185,0,0,1582879184,1582879185,0.080380201
1582879186,1582879186,1,1,1582879185,1582879186,0.064899921
1582879187,1582879187,0,0,1582879186,1582879187,0.081910133
1582879188,1582879188,1,1,1582879187,1582879188,0.062289953
1582879189,1582879189,0,0,1582879188,1582879189,0.061560154
1582879190,1582879190,1,1,1582879189,1582879190,0.097849846
1582879191,1582879191,0,0,1582879190,1582879191,0.06768012
1582879192,1582879192,1,1,1582879191,1582879192,0.095789909
