Before_send,After_send,Message
1582881974.6368015,1582881974.6368015,1,
1582881975.641429,1582881975.641429,0,
1582881976.6580873,1582881976.6580873,1,
1582881977.670157,1582881977.670157,0,
1582881978.6737082,1582881978.6737082,1,
1582881979.687315,1582881979.687315,0,
1582881980.6896863,1582881980.6896863,1,
1582881981.7044692,1582881981.7044692,0,
1582881982.7112715,1582881982.7112715,1,
1582881983.720812,1582881983.720812,0,
1582881984.7230825,1582881984.7230825,1,
1582881985.7260516,1582881985.7260516,0,
1582881986.742992,1582881986.742992,1,
1582881987.7467759,1582881987.7467759,0,
1582881988.7524006,1582881988.7524006,1,
1582881989.7602,1582881989.7602,0,
1582881990.7777085,1582881990.7777085,1,
1582881991.7914438,1582881991.7914438,0,
1582881992.7989993,1582881992.7989993,1,
1582881993.8129373,1582881993.8129373,0,
1582881994.8169053,1582881994.8169053,1,
1582881995.8267586,1582881995.8267586,0,
1582881996.8380687,1582881996.8380687,1,
1582881997.8467054,1582881997.8467054,0,
1582881998.8540165,1582881998.8540165,1,
1582881999.8682053,1582881999.8682053,0,
1582882000.8744948,1582882000.8744948,1,
1582882001.8894684,1582882001.8894684,0,
1582882002.8927195,1582882002.8927195,1,
1582882003.898207,1582882003.898417,0,
1582882004.9122972,1582882004.9126816,1,
1582882005.9150248,1582882005.9150248,0,
1582882006.9193103,1582882006.9193103,1,
1582882007.9378054,1582882007.937952,0,
1582882008.9408479,1582882008.9408479,1,
1582882009.9525979,1582882009.9525979,0,
1582882010.9592412,1582882010.9592412,1,
1582882011.9732528,1582882011.9732528,0,
1582882012.98283,1582882012.9831002,1,
1582882013.9956384,1582882013.9956384,0,
1582882014.9974496,1582882014.9974496,1,
1582882016.012801,1582882016.012801,0,
1582882017.0197644,1582882017.0199852,1,
1582882018.0365822,1582882018.0365822,0,
1582882019.0506816,1582882019.050986,1,
1582882020.0592089,1582882020.0592089,0,
1582882021.07103,1582882021.0715392,1,
1582882022.0773504,1582882022.0773504,0,
1582882023.0864296,1582882023.086697,1,
1582882024.0879552,1582882024.0879552,0,
1582882025.0920298,1582882025.0920298,1,
1582882026.0991142,1582882026.0991142,0,
1582882027.1005294,1582882027.1005294,1,
1582882028.1020768,1582882028.1020768,0,
1582882029.1040854,1582882029.1040854,1,
1582882030.118476,1582882030.118476,0,
1582882031.1259046,1582882031.1259046,1,
1582882032.132715,1582882032.132715,0,
1582882033.1478746,1582882033.1478746,1,
1582882034.156552,1582882034.156552,0,
1582882035.1589906,1582882035.1589906,1,
1582882036.1672685,1582882036.1672685,0,
1582882037.1804717,1582882037.1804717,1,
1582882038.1835432,1582882038.1835432,0,
1582882039.2005708,1582882039.200916,1,
1582882040.2129793,1582882040.2129793,0,
1582882041.2191901,1582882041.2196085,1,
1582882042.2234247,1582882042.2234247,0,
1582882043.2241504,1582882043.2241504,1,
1582882044.2365146,1582882044.2365146,0,
1582882045.242021,1582882045.242021,1,
1582882046.2451391,1582882046.2451391,0,
1582882047.260388,1582882047.260388,1,
1582882048.2637482,1582882048.2637482,0,
1582882049.2659914,1582882049.2659914,1,
1582882050.2793844,1582882050.2793844,0,
1582882051.2829473,1582882051.2829473,1,
1582882052.2971766,1582882052.2971766,0,
1582882053.3062694,1582882053.3062694,1,
1582882054.3174584,1582882054.317874,0,
1582882055.3293576,1582882055.3293576,1,
1582882056.3418117,1582882056.3421454,0,
1582882057.3455255,1582882057.3455255,1,
1582882058.346476,1582882058.346476,0,
1582882059.3482213,1582882059.3482213,1,
1582882060.3582878,1582882060.358496,0,
1582882061.359717,1582882061.360076,1,
1582882062.3635004,1582882062.3635004,0,
1582882063.3694766,1582882063.3694766,1,
1582882064.3735194,1582882064.3736,0,
1582882065.3967717,1582882065.3970308,1,
1582882066.414942,1582882066.414942,0,
1582882067.4314866,1582882067.4314866,1,
1582882068.4462457,1582882068.4462457,0,
1582882069.44769,1582882069.44769,1,
1582882070.463016,1582882070.463016,0,
1582882071.4630845,1582882071.4630845,1,
1582882072.479786,1582882072.479786,0,
1582882073.4937303,1582882073.4937303,1,
1582882074.508202,1582882074.508202,0,
1582882075.5092828,1582882075.5092828,1,
1582882076.511145,1582882076.511145,0,
1582882077.523876,1582882077.523876,1,
1582882078.5271778,1582882078.5271778,0,
1582882079.5365252,1582882079.5365252,1,
1582882080.5521495,1582882080.5521495,0,
1582882081.5610445,1582882081.5610445,1,
1582882082.5610468,1582882082.5610468,0,
1582882083.5612364,1582882083.5612364,1,
1582882084.5830853,1582882084.5830853,0,
1582882085.584093,1582882085.584093,1,
1582882086.5997186,1582882086.5997186,0,
1582882087.5997624,1582882087.5997624,1,
1582882088.6153436,1582882088.6153436,0,
1582882089.630964,1582882089.630964,1,
1582882090.6309743,1582882090.6309743,0,
1582882091.6465979,1582882091.6465979,1,
1582882092.6622233,1582882092.6622233,0,
1582882093.6778405,1582882093.6778405,1,
1582882094.6778421,1582882094.6778421,0,
1582882095.6934638,1582882095.6934638,1,
1582882096.6934643,1582882096.6934643,0,
1582882097.6934652,1582882097.6934652,1,
1582882098.7072392,1582882098.7072392,0,
1582882099.7228682,1582882099.7228682,1,
1582882100.7228968,1582882100.7228968,0,
1582882101.7302558,1582882101.7302558,1,
1582882102.7458487,1582882102.7458487,0,
1582882103.7614684,1582882103.7614684,1,
1582882104.7614703,1582882104.7614703,0,
1582882105.7614744,1582882105.7614744,1,
1582882106.777099,1582882106.777099,0,
1582882107.7927241,1582882107.7927241,1,
1582882108.7927556,1582882108.7927556,0,
1582882109.8083434,1582882109.8083434,1,
1582882110.808344,1582882110.808344,0,
1582882111.815595,1582882111.815595,1,
1582882112.827605,1582882112.827605,0,
1582882113.8432298,1582882113.8432298,1,
1582882114.8588455,1582882114.8588455,0,
1582882115.8588517,1582882115.8588517,1,
1582882116.8744788,1582882116.8744788,0,
1582882117.8900993,1582882117.8900993,1,
1582882118.90572,1582882118.90572,0,
1582882119.9057572,1582882119.9057572,1,
1582882120.905963,1582882120.905963,0,
1582882121.9215715,1582882121.9215715,1,
1582882122.9371915,1582882122.9371915,0,
1582882123.9528177,1582882123.9528177,1,
1582882124.952824,1582882124.952824,0,
1582882125.9529083,1582882125.9529083,1,
1582882126.968448,1582882126.968448,0,
1582882127.9684484,1582882127.9684484,1,
1582882128.9840634,1582882128.9840634,0,
1582882129.9840662,1582882129.9840662,1,
1582882130.984114,1582882130.984114,0,
1582882131.9996917,1582882131.9996917,1,
1582882133.0153172,1582882133.0153172,0,
1582882134.0174541,1582882134.0174541,1,
1582882135.017457,1582882135.017457,0,
1582882136.0178235,1582882136.0178235,1,
1582882137.0333579,1582882137.0333579,0,
1582882138.0489805,1582882138.0489805,1,
1582882139.0490751,1582882139.0490751,0,
1582882140.0646975,1582882140.0646975,1,
1582882141.080228,1582882141.080228,0,
1582882142.092385,1582882142.092385,1,
1582882143.1080067,1582882143.1080067,0,
1582882144.1116142,1582882144.1116142,1,
1582882145.1118267,1582882145.1118267,0,
1582882146.1244636,1582882146.1244636,1,
1582882147.1400852,1582882147.1400852,0,
1582882148.1400914,1582882148.1400914,1,
1582882149.1401093,1582882149.1401093,0,
1582882150.1557117,1582882150.1557117,1,
1582882151.1557138,1582882151.1557138,0,
1582882152.1713367,1582882152.1713367,1,
1582882153.1869648,1582882153.1869648,0,
1582882154.1870546,1582882154.1870546,1,
1582882155.1907904,1582882155.1907904,0,
1582882156.2064097,1582882156.2064097,1,
1582882157.2064168,1582882157.2064168,0,
1582882158.222046,1582882158.222046,1,
1582882159.2223182,1582882159.2223182,0,
1582882160.2223654,1582882160.2223654,1,
1582882161.234966,1582882161.234966,0,
1582882162.2505875,1582882162.2505875,1,
1582882163.2662113,1582882163.2662113,0,
1582882164.2662182,1582882164.2662182,1,
1582882165.2818427,1582882165.2818427,0,
1582882166.2818437,1582882166.2818437,1,
1582882167.2818444,1582882167.2818444,0,
1582882168.2974625,1582882168.2974625,1,
1582882169.2977464,1582882169.2977464,0,
1582882170.2977543,1582882170.2977543,1,
1582882171.3133628,1582882171.3133628,0,
1582882172.3133712,1582882172.3133712,1,
1582882173.3289979,1582882173.3289979,0,
1582882174.3446214,1582882174.3446214,1,
1582882175.3446276,1582882175.3446276,0,
1582882176.3465264,1582882176.3465264,1,
1582882177.346535,1582882177.346535,0,
1582882178.3465357,1582882178.3465357,1,
1582882179.346626,1582882179.346626,0,
1582882180.362154,1582882180.362154,1,
1582882181.3777845,1582882181.3777845,0,
1582882182.3934097,1582882182.3934097,1,
1582882183.393411,1582882183.393411,0,
1582882184.409036,1582882184.409036,1,
1582882185.4246538,1582882185.4246538,0,
1582882186.4402542,1582882186.4402542,1,
1582882187.4402766,1582882187.4402766,0,
1582882188.4559011,1582882188.4559011,1,
1582882189.4559026,1582882189.4559026,0,
1582882190.4715266,1582882190.4715266,1,
1582882191.4715269,1582882191.4715269,0,
1582882192.4871562,1582882192.4871562,1,
1582882193.5027792,1582882193.5027792,0,
1582882194.502785,1582882194.502785,1,
1582882195.5184104,1582882195.5184104,0,
1582882196.5203235,1582882196.5203235,1,
1582882197.5203319,1582882197.5203319,0,
1582882198.5203838,1582882198.5203838,1,
1582882199.5359492,1582882199.5359492,0,
1582882200.5359535,1582882200.5359535,1,
1582882201.5505316,1582882201.5505316,0,
1582882202.5506225,1582882202.5506225,1,
1582882203.5662346,1582882203.5662346,0,
1582882204.5662417,1582882204.5662417,1,
1582882205.5665126,1582882205.5665126,0,
1582882206.5703032,1582882206.5703032,1,
1582882207.5859547,1582882207.5859547,0,
1582882208.6014981,1582882208.6014981,1,
1582882209.6015034,1582882209.6015034,0,
1582882210.6171312,1582882210.6171312,1,
1582882211.632751,1582882211.632751,0,
1582882212.6327534,1582882212.6327534,1,
1582882213.6483738,1582882213.6483738,0,
1582882214.6483762,1582882214.6483762,1,
1582882215.6639936,1582882215.6639936,0,
1582882216.6658869,1582882216.6658869,1,
1582882217.6658957,1582882217.6658957,0,
1582882218.6815999,1582882218.6815999,1,
1582882219.6971421,1582882219.6971421,0,
1582882220.712767,1582882220.712767,1,
1582882221.728393,1582882221.728393,0,
1582882222.7297409,1582882222.72994,1,
1582882223.7433808,1582882223.7433808,0,
1582882224.7513292,1582882224.7513292,1,
1582882225.751612,1582882225.751612,0,
1582882226.7672403,1582882226.7672403,1,
1582882227.7672455,1582882227.7672455,0,
1582882228.7828696,1582882228.7828696,1,
1582882229.7984896,1582882229.7984896,0,
1582882230.7984936,1582882230.7984936,1,
1582882231.798497,1582882231.798497,0,
1582882232.8141196,1582882232.8141196,1,
1582882233.823008,1582882233.823008,0,
1582882234.8232746,1582882234.8232746,1,
1582882235.8389056,1582882235.8389056,0,
1582882236.8469777,1582882236.8469777,1,
1582882237.8472567,1582882237.8472567,0,
