Before_send,After_send,Message
Before_send,After_send,Message
1582727387.3966265,1582727387.3966265,1,
1582727388.3971193,1582727388.3971193,0,
1582727389.3974981,1582727389.3974981,1,
1582727390.4013364,1582727390.4013364,0,
1582727391.40169,1582727391.40169,1,
1582727392.415902,1582727392.415902,0,
1582727393.4312804,1582727393.4312804,1,
1582727394.4322157,1582727394.4322157,0,
1582727395.4324336,1582727395.4326303,1,
1582727396.446216,1582727396.446216,0,
1582727397.4477296,1582727397.4477296,1,
1582727398.451947,1582727398.451947,0,
1582727399.452789,1582727399.452789,1,
1582727400.4556043,1582727400.4556043,0,
1582727401.455948,1582727401.455948,1,
1582727402.4570227,1582727402.4570227,0,
Before_send,After_send,Message
1582727413.8821533,1582727413.8821533,1,
1582727414.882345,1582727414.882345,0,
1582727415.8823469,1582727415.8823469,1,
1582727416.8979697,1582727416.8979697,0,
1582727417.8982165,1582727417.8982165,1,
1582727418.8982198,1582727418.8982198,0,
1582727419.91385,1582727419.91385,1,
1582727420.9294546,1582727420.9294546,0,
1582727421.9294562,1582727421.9294562,1,
1582727422.944877,1582727422.944877,0,
1582727423.9450688,1582727423.9450688,1,
1582727424.9605303,1582727424.9605303,0,
1582727425.9763503,1582727425.9763503,1,
1582727426.984211,1582727426.984211,0,
1582727427.9842122,1582727427.9842122,1,
1582727428.9842124,1582727428.9842124,0,
1582727429.9928446,1582727429.9928446,1,
1582727431.00864,1582727431.00864,0,
1582727432.0242512,1582727432.0242512,1,
1582727433.0242572,1582727433.0242572,0,
1582727434.039887,1582727434.039887,1,
1582727435.0555081,1582727435.0555081,0,
1582727436.0677645,1582727436.0677645,1,
1582727437.0677667,1582727437.0677667,0,
1582727438.0833867,1582727438.0833867,1,
1582727439.0833902,1582727439.0833902,0,
1582727440.0990121,1582727440.0990121,1,
1582727441.1087825,1582727441.1087825,0,
1582727442.1087878,1582727442.1087878,1,
1582727443.1245115,1582727443.1245115,0,
1582727444.14025,1582727444.14025,1,
1582727445.1472037,1582727445.1472037,0,
1582727446.1628335,1582727446.1628335,1,
1582727447.1628366,1582727447.1628366,0,
1582727448.1784575,1582727448.1784575,1,
1582727449.1784625,1582727449.1784625,0,
1582727450.1940825,1582727450.1940825,1,
1582727451.1940882,1582727451.1940882,0,
1582727452.2097094,1582727452.2097094,1,
1582727453.209711,1582727453.209711,0,
1582727454.2253146,1582727454.2253146,1,
1582727455.225316,1582727455.225316,0,
1582727456.2253284,1582727456.2253284,1,
1582727457.2409296,1582727457.2409296,0,
1582727458.2409341,1582727458.2409341,1,
1582727459.2563617,1582727459.2563617,0,
1582727460.2563624,1582727460.2563624,1,
1582727461.256366,1582727461.256366,0,
1582727462.2585032,1582727462.2585032,1,
1582727463.2587957,1582727463.2587957,0,
1582727464.2744904,1582727464.2744904,1,
1582727465.2900112,1582727465.2900112,0,
1582727466.290013,1582727466.290013,1,
1582727467.2900205,1582727467.2900205,0,
1582727468.2900207,1582727468.2900207,1,
1582727469.290022,1582727469.290022,0,
1582727470.2900264,1582727470.2900264,1,
1582727471.290028,1582727471.290028,0,
1582727472.2900324,1582727472.2900324,1,
1582727473.2900343,1582727473.2900343,0,
1582727474.2900393,1582727474.2900393,1,
1582727475.290041,1582727475.290041,0,
1582727476.2900462,1582727476.2900462,1,
1582727477.305649,1582727477.305649,0,
1582727478.3056521,1582727478.3056521,1,
1582727479.305653,1582727479.305653,0,
1582727480.3056643,1582727480.3056643,1,
1582727481.3212676,1582727481.3212676,0,
1582727482.3233395,1582727482.3233395,1,
1582727483.323622,1582727483.323622,0,
1582727484.3236277,1582727484.3236277,1,
1582727485.3392363,1582727485.3392363,0,
1582727486.339243,1582727486.339243,1,
1582727487.3548672,1582727487.3548672,0,
1582727488.3704667,1582727488.3704667,1,
1582727489.370474,1582727489.370474,0,
1582727490.3859026,1582727490.3859026,1,
1582727491.4016948,1582727491.4016948,0,
1582727492.4173648,1582727492.4173648,1,
1582727493.4208763,1582727493.4208763,0,
1582727494.4208803,1582727494.4208803,1,
1582727495.4208927,1582727495.4208927,0,
1582727496.4361408,1582727496.4361408,1,
1582727497.443317,1582727497.443317,0,
1582727498.4589422,1582727498.4589422,1,
1582727499.4745722,1582727499.4745722,0,
1582727500.4778686,1582727500.4778686,1,
1582727501.4822488,1582727501.4822488,0,
1582727502.4973905,1582727502.4973905,1,
1582727503.513017,1582727503.513017,0,
1582727504.5286407,1582727504.5286407,1,
1582727505.5336123,1582727505.5336123,0,
1582727506.5494487,1582727506.5494487,1,
1582727507.5530105,1582727507.5530105,0,
1582727508.553011,1582727508.553011,1,
1582727509.553256,1582727509.553256,0,
1582727510.5532734,1582727510.5532734,1,
1582727511.5688808,1582727511.5688808,0,
1582727512.5688856,1582727512.5688856,1,
1582727513.584491,1582727513.584491,0,
1582727514.5844986,1582727514.5844986,1,
1582727515.6000993,1582727515.6000993,0,
1582727516.615541,1582727516.615541,1,
1582727517.631383,1582727517.631383,0,
1582727518.6313844,1582727518.6313844,1,
1582727519.6313848,1582727519.6313848,0,
1582727520.6470041,1582727520.6470041,1,
1582727521.6470094,1582727521.6470094,0,
1582727522.662635,1582727522.662635,1,
1582727523.6652255,1582727523.6652255,0,
1582727524.6808522,1582727524.6808522,1,
1582727525.6966884,1582727525.6966884,0,
1582727526.696698,1582727526.696698,1,
1582727527.712311,1582727527.712311,0,
1582727528.7123148,1582727528.7123148,1,
1582727529.7155287,1582727529.7155287,0,
1582727530.7309556,1582727530.7309556,1,
1582727531.7466311,1582727531.7466311,0,
1582727532.762418,1582727532.762418,1,
1582727533.7769618,1582727533.7769618,0,
1582727534.7925572,1582727534.7925572,1,
1582727535.7928653,1582727535.7928653,0,
1582727536.7928717,1582727536.7928717,1,
1582727537.8084881,1582727537.8084881,0,
1582727538.8084939,1582727538.8084939,1,
1582727539.8241174,1582727539.8241174,0,
1582727540.8241193,1582727540.8241193,1,
1582727541.8397498,1582727541.8397498,0,
1582727542.8553681,1582727542.8553681,1,
1582727543.8570602,1582727543.8570602,0,
1582727544.8570607,1582727544.8570607,1,
1582727545.8570607,1582727545.8570607,0,
1582727546.865077,1582727546.865077,1,
1582727547.880687,1582727547.880687,0,
1582727548.8809574,1582727548.8809574,1,
1582727549.880962,1582727549.880962,0,
1582727550.8965755,1582727550.8965755,1,
1582727551.8965771,1582727551.8965771,0,
1582727552.8965778,1582727552.8965778,1,
1582727553.904321,1582727553.904321,0,
1582727554.9043238,1582727554.9043238,1,
1582727555.914066,1582727555.914066,0,
1582727556.9178615,1582727556.9178615,1,
1582727557.9334867,1582727557.9334867,0,
