Before_send,After_send,Message,Diif,Start_read,Message,Endread
1582724722.608740000,1582724722.60874,1,1.35751986504,1582724723.96626000000,b'1\r\n',1582724724.9383300000
1582724723.617930000,1582724723.61793,0,1.32039999962,1582724724.93833000000,b'0\r\n',1582724725.9106600000
1582724724.622520000,1582724724.62252,1,1.28814005852,1582724725.91066000000,b'1\r\n',1582724726.8950400000
1582724725.629420000,1582724725.62942,0,1.26561999321,1582724726.89504000000,b'0\r\n',1582724727.8637900000
1582724726.645030000,1582724726.64503,1,1.21876001358,1582724727.86379000000,b'1\r\n',1582724728.8481600000
1582724727.645030000,1582724727.64503,0,1.20313000679,1582724728.84816000000,b'0\r\n',1582724729.8213200000
1582724728.660660000,1582724728.66066,1,1.16066002846,1582724729.82132000000,b'1\r\n',1582724730.8058700000
1582724729.665280000,1582724729.66528,0,1.14058995247,1582724730.80587000000,b'0\r\n',1582724731.7746600000
1582724730.680910000,1582724730.68091,1,1.09375000000,1582724731.77466000000,b'1\r\n',1582724732.7590400000
1582724731.680910000,1582724731.68091,0,1.07813000679,1582724732.75904000000,b'0\r\n',1582724734.2280100000
1582724732.696540000,1582724732.69654,1,1.53146982193,1582724734.22801000000,b'1\r\n',1582724735.2057400000
1582724733.712160000,1582724733.71216,0,1.49357986450,1582724735.20574000000,b'0\r\n',1582724736.1745100000
1582724734.712380000,1582724734.71238,1,1.46213006973,1582724736.17451000000,b'1\r\n',1582724737.1553500000
1582724735.721160000,1582724735.72116,0,1.43419003487,1582724737.15535000000,b'0\r\n',1582724738.1241300000
1582724736.733510000,1582724736.73351,1,1.39061999321,1582724738.12413000000,b'1\r\n',1582724739.1089700000
1582724737.749130000,1582724737.74913,0,1.35983991623,1582724739.10897000000,b'0\r\n',1582724740.0933500000
1582724738.749570000,1582724738.74957,1,1.34378004074,1582724740.09335000000,b'1\r\n',1582724741.0621000000
1582724739.749610000,1582724739.74961,0,1.31248998642,1582724741.06210000000,b'0\r\n',1582724742.0356600000
1582724740.765220000,1582724740.76522,1,1.27044010162,1582724742.03566000000,b'1\r\n',1582724743.0198200000
1582724741.780000000,1582724741.78000,0,1.23982000351,1582724743.01982000000,b'0\r\n',1582724744.0006600000
1582724742.785660000,1582724742.78566,1,1.21499991417,1582724744.00066000000,b'1\r\n',1582724744.9691800000
1582724743.797530000,1582724743.79753,0,1.17165017128,1582724744.96918000000,b'0\r\n',1582724745.9537500000
1582724744.797530000,1582724744.79753,1,1.15621995926,1582724745.95375000000,b'1\r\n',1582724746.9255100000
1582724745.813150000,1582724745.81315,0,1.11236000061,1582724746.92551000000,b'0\r\n',1582724747.9133600000
1582724746.816130000,1582724746.81613,1,1.09723019600,1582724747.91336000000,b'1\r\n',1582724748.8877400000
1582724747.819550000,1582724747.81955,0,1.06818985939,1582724748.88774000000,b'0\r\n',1582724749.8569500000
1582724748.825240000,1582724748.82524,1,1.53170013428,1582724750.35694000000,b'1\r\n',1582724751.3257000000
1582724749.825700000,1582724749.82570,0,1.50000000000,1582724751.32570000000,b'0\r\n',1582724752.3100800000
1582724750.841320000,1582724750.84132,1,1.46876001358,1582724752.31008000000,b'1\r\n',1582724753.2943600000
1582724751.856720000,1582724751.85672,0,1.43763995171,1582724753.29436000000,b'0\r\n',1582724754.2631900000
1582724752.856950000,1582724752.85695,1,1.40623998642,1582724754.26319000000,b'1\r\n',1582724755.2473900000
1582724753.872580000,1582724753.87258,0,1.37480998039,1582724755.24739000000,b'0\r\n',1582724756.2236900000
1582724754.888190000,1582724754.88819,1,1.33550000191,1582724756.22369000000,b'1\r\n',1582724757.1924400000
1582724755.900140000,1582724755.90014,0,1.29229998589,1582724757.19244000000,b'0\r\n',1582724758.1655100000
1582724756.911180000,1582724756.91118,1,1.25432991982,1582724758.16551000000,b'1\r\n',1582724759.1502900000
1582724757.915510000,1582724757.91551,0,1.23478007317,1582724759.15029000000,b'0\r\n',1582724760.1344400000
1582724758.915920000,1582724758.91592,1,1.21851992607,1582724760.13444000000,b'1\r\n',1582724761.1034000000
1582724759.931540000,1582724759.93154,0,1.17185997963,1582724761.10340000000,b'0\r\n',1582724762.0721600000
1582724760.947160000,1582724760.94716,1,1.12500000000,1582724762.07216000000,b'1\r\n',1582724763.0565400000
1582724761.962790000,1582724761.96279,0,1.09375000000,1582724763.05654000000,b'0\r\n',1582724764.0409100000
1582724762.978400000,1582724762.97840,1,1.06251001358,1582724764.04091000000,b'1\r\n',1582724765.4977000000
1582724763.978410000,1582724763.97841,0,1.51928997040,1582724765.49770000000,b'0\r\n',1582724766.4880800000
1582724764.982080000,1582724764.98208,1,1.50600004196,1582724766.48808000000,b'1\r\n',1582724767.4568200000
1582724765.997700000,1582724765.99770,0,1.45912003517,1582724767.45682000000,b'0\r\n',1582724768.5069200000
1582724767.003700000,1582724767.00370,1,1.50322008133,1582724768.50692000000,b'1\r\n',1582724769.4132100000
1582724768.019300000,1582724768.01930,0,1.39390993118,1582724769.41321000000,b'0\r\n',1582724770.3819200000
1582724769.022550000,1582724769.02255,1,1.35936999321,1582724770.38192000000,b'1\r\n',1582724771.3660700000
1582724770.038170000,1582724770.03817,0,1.32789993286,1582724771.36607000000,b'0\r\n',1582724772.3350400000
1582724771.053790000,1582724771.05379,1,1.28125000000,1582724772.33504000000,b'1\r\n',1582724773.3194100000
1582724772.053790000,1582724772.05379,0,1.26561999321,1582724773.31941000000,b'0\r\n',1582724774.2881700000
1582724773.069410000,1582724773.06941,1,1.21876001358,1582724774.28817000000,b'1\r\n',1582724775.2749300000
1582724774.069410000,1582724774.06941,0,1.20551991463,1582724775.27493000000,b'0\r\n',1582724776.2436800000
1582724775.085040000,1582724775.08504,1,1.15863990784,1582724776.24368000000,b'1\r\n',1582724777.2237300000
1582724776.087430000,1582724776.08743,0,1.13630008698,1582724777.22373000000,b'0\r\n',1582724778.2081100000
1582724777.098520000,1582724777.09852,1,1.10959005356,1582724778.20811000000,b'1\r\n',1582724779.1771100000
1582724778.114350000,1582724778.11435,0,1.06275987625,1582724779.17711000000,b'0\r\n',1582724780.1627300000
1582724779.114610000,1582724779.11461,1,1.53249001503,1582724780.64710000000,b'1\r\n',1582724781.6313000000
1582724780.115630000,1582724780.11563,0,1.51567006111,1582724781.63130000000,b'0\r\n',1582724782.6002100000
1582724781.115820000,1582724781.11582,1,1.48439002037,1582724782.60021000000,b'1\r\n',1582724783.5846100000
1582724782.131280000,1582724782.13128,0,1.45333003998,1582724783.58461000000,b'0\r\n',1582724784.5533500000
1582724783.147100000,1582724783.14710,1,1.40625000000,1582724784.55335000000,b'1\r\n',1582724785.5380200000
1582724784.162730000,1582724784.16273,0,1.37528991699,1582724785.53802000000,b'0\r\n',1582724786.5067700000
1582724785.178350000,1582724785.17835,1,1.32841992378,1582724786.50677000000,b'1\r\n',1582724787.4911400000
1582724786.178420000,1582724786.17842,0,1.31271982193,1582724787.49114000000,b'0\r\n',1582724788.4598900000
1582724787.178640000,1582724787.17864,1,1.28125000000,1582724788.45989000000,b'1\r\n',1582724789.4442700000
1582724788.178640000,1582724788.17864,0,1.26563000679,1582724789.44427000000,b'0\r\n',1582724790.4286400000
1582724789.178730000,1582724789.17873,1,1.24990987778,1582724790.42864000000,b'1\r\n',1582724791.3975600000
1582724790.194260000,1582724790.19426,0,1.20329999924,1582724791.39756000000,b'0\r\n',1582724792.3821400000
1582724791.209890000,1582724791.20989,1,1.17225003242,1582724792.38214000000,b'1\r\n',1582724793.3509000000
1582724792.210280000,1582724792.21028,0,1.14061999321,1582724793.35090000000,b'0\r\n',1582724794.3287400000
1582724793.225920000,1582724793.22592,1,1.10281991959,1582724794.32874000000,b'1\r\n',1582724795.3131100000
1582724794.234990000,1582724794.23499,0,1.07812023163,1582724795.31311000000,b'0\r\n',1582724796.2820800000
1582724795.235210000,1582724795.23521,1,1.53816008568,1582724796.77337000000,b'1\r\n',1582724797.7563600000
1582724796.250830000,1582724796.25083,0,1.50553011894,1582724797.75636000000,b'0\r\n',1582724798.7268200000
1582724797.256370000,1582724797.25637,1,1.47044992447,1582724798.72682000000,b'1\r\n',1582724799.7040900000
1582724798.258280000,1582724798.25828,0,1.44581007957,1582724799.70409000000,b'0\r\n',1582724800.6884700000
1582724799.266590000,1582724799.26659,1,1.42187976837,1582724800.68847000000,b'1\r\n',1582724801.6628900000
1582724800.282210000,1582724800.28221,0,1.38067984581,1582724801.66289000000,b'0\r\n',1582724802.6395100000
1582724801.282220000,1582724801.28222,1,1.35729002953,1582724802.63951000000,b'1\r\n',1582724803.6082700000
1582724802.288470000,1582724802.28947,0,1.31879997253,1582724803.60827000000,b'0\r\n',1582724804.5846700000
1582724803.295550000,1582724803.29555,1,1.28911995888,1582724804.58467000000,b'1\r\n',1582724805.5690500000
1582724804.303420000,1582724804.30342,0,1.26563000679,1582724805.56905000000,b'0\r\n',1582724806.5534200000
1582724805.319040000,1582724805.31904,1,1.23438000679,1582724806.55342000000,b'1\r\n',1582724807.5221700000
1582724806.319040000,1582724806.31904,0,1.20313000679,1582724807.52217000000,b'0\r\n',1582724808.4939800000
1582724807.334670000,1582724807.33467,1,1.15930986404,1582724808.49398000000,b'1\r\n',1582724809.4781700000
1582724808.337760000,1582724808.33776,0,1.14040994644,1582724809.47817000000,b'0\r\n',1582724810.4627400000
1582724809.337760000,1582724809.33776,1,1.12497997284,1582724810.46274000000,b'1\r\n',1582724811.4471400000
1582724810.337770000,1582724810.33777,0,1.10936999321,1582724811.44714000000,b'0\r\n',1582724812.4158900000
1582724811.353390000,1582724811.35339,1,1.06250000000,1582724812.41589000000,b'1\r\n',1582724813.8846300000
1582724812.353390000,1582724812.35339,0,1.53123998642,1582724813.88463000000,b'0\r\n',1582724814.8533600000
1582724813.369010000,1582724813.36901,1,1.48434996605,1582724814.85336000000,b'1\r\n',1582724815.8347000000
1582724814.369020000,1582724814.36902,0,1.46568012238,1582724815.83470000000,b'0\r\n',1582724816.8034600000
1582724815.381580000,1582724815.38158,1,1.42187976837,1582724816.80346000000,b'1\r\n',1582724817.7878300000
1582724816.397200000,1582724816.39720,0,1.39063000679,1582724817.78783000000,b'0\r\n',1582724818.7612600000
1582724817.397200000,1582724817.39720,1,1.36405992508,1582724818.76126000000,b'1\r\n',1582724819.7523900000
1582724818.401930000,1582724818.40193,0,1.35045981407,1582724819.75239000000,b'0\r\n',1582724820.7257800000
1582724819.408640000,1582724819.40864,1,1.31714010239,1582724820.72578000000,b'1\r\n',1582724821.6945200000
1582724820.413280000,1582724820.41328,0,1.28123998642,1582724821.69452000000,b'0\r\n',1582724822.6789100000
1582724821.413290000,1582724821.41329,1,1.26561999321,1582724822.67891000000,b'1\r\n',1582724823.6477100000
1582724822.428900000,1582724822.42890,0,1.21881008148,1582724823.64771000000,b'0\r\n',1582724824.6325800000
1582724823.428960000,1582724823.42896,1,1.20361995697,1582724824.63258000000,b'1\r\n',1582724825.6013200000
1582724824.429450000,1582724824.42945,0,1.17186999321,1582724825.60132000000,b'0\r\n',1582724826.5856900000
1582724825.445060000,1582724825.44506,1,1.14063000679,1582724826.58569000000,b'1\r\n',1582724827.5700700000
1582724826.445070000,1582724826.44507,0,1.12500000000,1582724827.57007000000,b'0\r\n',1582724828.5388200000
1582724827.445070000,1582724827.44507,1,1.09375000000,1582724828.53882000000,b'1\r\n',1582724829.5112300000
1582724828.445070000,1582724828.44507,0,1.06615996361,1582724829.51123000000,b'0\r\n',1582724830.9956000000
1582724829.448730000,1582724829.44873,1,1.54686999321,1582724830.99560000000,b'1\r\n',1582724831.9649100000
1582724830.464350000,1582724830.46435,0,1.50056004524,1582724831.96491000000,b'0\r\n',1582724832.9486900000
1582724831.464650000,1582724831.46465,1,1.48404002190,1582724832.94869000000,b'1\r\n',1582724833.9174300000
1582724832.464920000,1582724832.46492,0,1.45250988007,1582724833.91743000000,b'0\r\n',1582724834.9018100000
1582724833.479930000,1582724833.47993,1,1.42188000679,1582724834.90181000000,b'1\r\n',1582724835.8771300000
1582724834.479940000,1582724834.47994,0,1.39719009399,1582724835.87713000000,b'0\r\n',1582724836.8458900000
1582724835.486510000,1582724835.48651,1,1.35938000679,1582724836.84589000000,b'1\r\n',1582724837.8302600000
1582724836.486520000,1582724836.48652,0,1.34373998642,1582724837.83026000000,b'0\r\n',1582724838.7989900000
1582724837.502140000,1582724837.50214,1,1.29684996605,1582724838.79899000000,b'1\r\n',1582724839.7833900000
1582724838.502140000,1582724838.50214,0,1.28125000000,1582724839.78339000000,b'0\r\n',1582724840.7677700000
1582724839.517760000,1582724839.51776,1,1.25001001358,1582724840.76777000000,b'1\r\n',1582724841.7365100000
1582724840.517770000,1582724840.51777,0,1.21873998642,1582724841.73651000000,b'0\r\n',1582724842.7208900000
1582724841.533380000,1582724841.53338,1,1.18751001358,1582724842.72089000000,b'1\r\n',1582724843.6896500000
1582724842.533390000,1582724842.53339,0,1.15626001358,1582724843.68965000000,b'0\r\n',1582724844.6740800000
1582724843.549010000,1582724843.54901,1,1.12506985664,1582724844.67408000000,b'1\r\n',1582724845.6430600000
1582724844.549300000,1582724844.54930,0,1.09376001358,1582724845.64306000000,b'0\r\n',1582724846.6274300000
1582724845.564930000,1582724845.56493,1,2.04688000679,1582724847.61181000000,b'1\r\n',1582724848.0961800000
1582724846.564930000,1582724846.56493,0,1.53125000000,1582724848.09618000000,b'0\r\n',1582724849.0649400000
1582724847.564930000,1582724847.56493,1,1.50001001358,1582724849.06494000000,b'1\r\n',1582724850.0493100000
1582724848.580550000,1582724848.58055,0,1.46876001358,1582724850.04931000000,b'0\r\n',1582724851.0198900000
1582724849.596180000,1582724849.59618,1,1.42371010780,1582724851.01989000000,b'1\r\n',1582724852.0042500000
1582724850.598010000,1582724850.59801,0,1.40623998642,1582724852.00425000000,b'0\r\n',1582724852.9727900000
1582724851.613610000,1582724851.61361,1,1.35917997360,1582724852.97279000000,b'1\r\n',1582724853.9573600000
1582724852.613640000,1582724852.61364,0,1.34371995926,1582724853.95736000000,b'0\r\n',1582724854.9261400000
1582724853.629260000,1582724853.62926,1,1.29688000679,1582724854.92614000000,b'1\r\n',1582724855.9105200000
1582724854.644880000,1582724854.64488,0,1.26564002037,1582724855.91052000000,b'0\r\n',1582724856.8918900000
1582724855.644880000,1582724855.64488,1,1.24700999260,1582724856.89189000000,b'1\r\n',1582724857.8606300000
1582724856.644880000,1582724856.64488,0,1.21574997902,1582724857.86063000000,b'0\r\n',1582724858.8475300000
1582724857.657500000,1582724857.65750,1,1.19002985954,1582724858.84753000000,b'1\r\n',1582724859.8265800000
1582724858.660020000,1582724858.66002,0,1.16655993462,1582724859.82658000000,b'0\r\n',1582724860.8059200000
1582724859.670320000,1582724859.67032,1,1.13559985161,1582724860.80592000000,b'1\r\n',1582724861.7811900000
1582724860.680950000,1582724860.68095,0,1.10023999214,1582724861.78119000000,b'0\r\n',1582724862.7541900000
1582724861.687440000,1582724861.68744,1,1.06675004959,1582724862.75419000000,b'1\r\n',1582724864.2238300000
1582724862.691910000,1582724862.69191,0,1.53191995621,1582724864.22383000000,b'0\r\n',1582724865.1925800000
1582724863.707540000,1582724863.70754,1,1.48503994942,1582724865.19258000000,b'1\r\n',1582724866.1769600000
1582724864.708210000,1582724864.70821,0,1.46875000000,1582724866.17696000000,b'0\r\n',1582724867.1613300000
1582724865.708210000,1582724865.70821,1,1.45311999321,1582724867.16133000000,b'1\r\n',1582724868.1296100000
1582724866.723830000,1582724866.72383,0,1.40578007698,1582724868.12961000000,b'0\r\n',1582724869.1139900000
1582724867.730570000,1582724867.73057,1,1.38341999054,1582724869.11399000000,b'1\r\n',1582724870.0827000000
1582724868.738980000,1582724868.73898,0,1.34371995926,1582724870.08270000000,b'0\r\n',1582724871.0583200000
1582724869.754540000,1582724869.75454,1,1.30378007889,1582724871.05832000000,b'1\r\n',1582724872.0429100000
1582724870.754860000,1582724870.75486,0,1.28805017471,1582724872.04291000000,b'0\r\n',1582724873.0188800000
1582724871.761670000,1582724871.76167,1,1.25720977783,1582724873.01888000000,b'1\r\n',1582724873.9879000000
1582724872.768890000,1582724872.76889,0,1.21901011467,1582724873.98790000000,b'0\r\n',1582724874.9830900000
1582724873.769170000,1582724873.76917,1,1.21391987801,1582724874.98309000000,b'1\r\n',1582724875.9518400000
1582724874.779970000,1582724874.77997,0,1.17186999321,1582724875.95184000000,b'0\r\n',1582724876.9205300000
1582724875.779970000,1582724875.77997,1,1.14056015015,1582724876.92053000000,b'1\r\n',1582724877.9006200000
1582724876.795600000,1582724876.79560,0,1.10502004623,1582724877.90062000000,b'0\r\n',1582724878.8876700000
1582724877.806880000,1582724877.80688,1,3.51905012131,1582724881.32593000000,b'1\r\n',1582724882.2947700000
1582724878.809560000,1582724878.80956,0,3.48520994186,1582724882.29477000000,b'0\r\n',1582724883.2742900000
1582724879.809840000,1582724879.80984,1,3.46445012093,1582724883.27429000000,b'1\r\n',1582724884.2615700000
1582724880.810070000,1582724880.81007,0,3.45149993896,1582724884.26157000000,b'0\r\n',1582724885.2391300000
1582724881.810310000,1582724881.81031,1,3.42882013321,1582724885.23913000000,b'1\r\n',1582724886.2078800000
1582724882.821150000,1582724882.82115,0,3.38672995567,1582724886.20788000000,b'0\r\n',1582724887.1922500000
1582724883.836760000,1582724883.83676,1,3.35548996925,1582724887.19225000000,b'1\r\n',1582724888.1610000000
1582724884.841790000,1582724884.84179,0,3.31921005249,1582724888.16100000000,b'0\r\n',1582724889.1454200000
1582724885.848500000,1582724885.84850,1,3.29692006111,1582724889.14542000000,b'1\r\n',1582724890.1131800000
