msg,before,after
b'',1582881970.8647346,1582881972.8694868
b'',1582881972.8694868,1582881974.874052
b'0\r\n',1582881974.874052,1582881975.7155752
b'1\r\n',1582881975.7155752,1582881976.7498312
b'0\r\n',1582881976.7498312,1582881977.7275252
b'1\r\n',1582881977.7275252,1582881978.7538872
b'0\r\n',1582881978.7538872,1582881979.752634
b'1\r\n',1582881979.752634,1582881980.772922
b'0\r\n',1582881980.772922,1582881981.7554047
b'1\r\n',1582881981.7554047,1582881982.7933354
b'0\r\n',1582881982.7933354,1582881983.7723114
b'1\r\n',1582881983.7723114,1582881984.8054154
b'0\r\n',1582881984.8054154,1582881985.7915642
b'1\r\n',1582881985.7915642,1582881986.8248959
b'0\r\n',1582881986.8248959,1582881987.808579
b'1\r\n',1582881987.808579,1582881988.8495445
b'0\r\n',1582881988.8495445,1582881989.8268366
b'1\r\n',1582881989.8268366,1582881990.861042
b'0\r\n',1582881990.861042,1582881991.8404927
b'1\r\n',1582881991.8404927,1582881992.8712885
b'0\r\n',1582881992.8712885,1582881993.904055
b'1\r\n',1582881993.904055,1582881994.9003382
b'0\r\n',1582881994.9003382,1582881995.8818908
b'1\r\n',1582881995.8818908,1582881996.9182563
b'0\r\n',1582881996.9182563,1582881997.937909
b'1\r\n',1582881997.937909,1582881998.9221892
b'0\r\n',1582881998.9221892,1582881999.963548
b'1\r\n',1582881999.963548,1582882000.9408696
b'0\r\n',1582882000.9408696,1582882001.9697735
b'1\r\n',1582882001.9697735,1582882002.9621696
b'0\r\n',1582882002.9621696,1582882003.9954252
b'1\r\n',1582882003.9954252,1582882004.9767158
b'0\r\n',1582882004.9767158,1582882006.0127583
b'1\r\n',1582882006.0127583,1582882006.9853976
b'0\r\n',1582882006.9853976,1582882008.0176919
b'1\r\n',1582882008.0176919,1582882009.0058713
b'0\r\n',1582882009.0058713,1582882010.0384412
b'1\r\n',1582882010.0384412,1582882011.0258775
b'0\r\n',1582882011.0258775,1582882012.0536714
b'1\r\n',1582882012.0536714,1582882013.0347447
b'0\r\n',1582882013.0347447,1582882014.0624142
b'1\r\n',1582882014.0624142,1582882015.0468612
b'0\r\n',1582882015.0468612,1582882016.0793324
b'1\r\n',1582882016.0793324,1582882017.1202815
b'0\r\n',1582882017.1202815,1582882018.1028876
b'1\r\n',1582882018.1028876,1582882019.1206093
b'0\r\n',1582882019.1206093,1582882020.1204522
b'1\r\n',1582882020.1204522,1582882021.152688
b'0\r\n',1582882021.152688,1582882022.1258614
b'1\r\n',1582882022.1258614,1582882023.1564107
b'0\r\n',1582882023.1564107,1582882024.1542566
b'1\r\n',1582882024.1542566,1582882025.1798685
b'0\r\n',1582882025.1798685,1582882026.1617575
b'1\r\n',1582882026.1617575,1582882027.198271
b'0\r\n',1582882027.198271,1582882028.1691415
b'1\r\n',1582882028.1691415,1582882029.1532218
b'0\r\n',1582882029.1532218,1582882030.185937
b'1\r\n',1582882030.185937,1582882031.175856
b'0\r\n',1582882031.175856,1582882032.2127576
b'1\r\n',1582882032.2127576,1582882033.2457502
b'0\r\n',1582882033.2457502,1582882034.2214973
b'1\r\n',1582882034.2214973,1582882035.2549522
b'0\r\n',1582882035.2549522,1582882036.2491665
b'1\r\n',1582882036.2491665,1582882037.2781906
b'0\r\n',1582882037.2781906,1582882038.2498643
b'1\r\n',1582882038.2498643,1582882039.2993696
b'0\r\n',1582882039.2993696,1582882040.2684393
b'1\r\n',1582882040.2684393,1582882041.3112326
b'0\r\n',1582882041.3117561,1582882042.2883222
b'1\r\n',1582882042.2883222,1582882043.3063085
b'0\r\n',1582882043.3063085,1582882044.2990098
b'1\r\n',1582882044.2990098,1582882045.3403156
b'0\r\n',1582882045.341002,1582882046.3099694
b'1\r\n',1582882046.3099694,1582882047.3526485
b'0\r\n',1582882047.3526485,1582882048.3363016
b'1\r\n',1582882048.3363016,1582882049.3658793
b'0\r\n',1582882049.3658793,1582882050.351243
b'1\r\n',1582882050.351243,1582882051.366709
b'0\r\n',1582882051.366709,1582882052.3665793
b'1\r\n',1582882052.3665793,1582882053.3828056
b'0\r\n',1582882053.3828056,1582882054.384316
b'1\r\n',1582882054.384316,1582882055.4164898
b'0\r\n',1582882055.4164898,1582882056.4326487
b'1\r\n',1582882056.4326487,1582882057.415503
b'0\r\n',1582882057.415503,1582882058.4015768
b'1\r\n',1582882058.4015768,1582882059.4329116
b'0\r\n',1582882059.4329116,1582882060.4164474
b'1\r\n',1582882060.4164474,1582882061.449365
b'0\r\n',1582882061.449365,1582882062.42987
b'1\r\n',1582882062.42987,1582882063.4629939
b'0\r\n',1582882063.4629939,1582882064.4472337
b'1\r\n',1582882064.4472337,1582882065.478356
b'0\r\n',1582882065.478356,1582882066.5109258
b'1\r\n',1582882066.5109258,1582882067.4962215
b'0\r\n',1582882067.4962215,1582882068.5263503
b'1\r\n',1582882068.5263503,1582882069.5121899
b'0\r\n',1582882069.5121899,1582882070.5428138
b'1\r\n',1582882070.5428138,1582882071.5118566
b'0\r\n',1582882071.5118566,1582882072.544297
b'1\r\n',1582882072.544297,1582882073.5797524
b'0\r\n',1582882073.5797524,1582882074.570796
b'1\r\n',1582882074.570796,1582882075.589638
b'0\r\n',1582882075.589638,1582882076.577451
b'1\r\n',1582882076.577451,1582882077.6177154
b'0\r\n',1582882077.6177154,1582882078.5915935
b'1\r\n',1582882078.5915935,1582882079.630275
b'0\r\n',1582882079.630275,1582882080.614651
b'1\r\n',1582882080.614651,1582882081.639172
b'0\r\n',1582882081.639172,1582882082.6235452
b'1\r\n',1582882082.6235452,1582882083.6079183
b'0\r\n',1582882083.6079183,1582882084.642778
b'1\r\n',1582882084.642778,1582882085.6622162
b'0\r\n',1582882085.6622162,1582882086.6622186
b'1\r\n',1582882086.6622186,1582882087.677881
b'0\r\n',1582882087.677881,1582882088.6622727
b'1\r\n',1582882088.6622727,1582882089.6934643
b'0\r\n',1582882089.6934643,1582882090.677846
b'1\r\n',1582882090.677846,1582882091.7090967
b'0\r\n',1582882091.7090967,1582882092.7403474
b'1\r\n',1582882092.7403474,1582882093.7247148
b'0\r\n',1582882093.7247148,1582882094.7559636
b'1\r\n',1582882094.7559636,1582882095.7403402
b'0\r\n',1582882095.7403402,1582882096.7715893
b'1\r\n',1582882096.7715893,1582882097.7560012
b'0\r\n',1582882097.7560012,1582882098.7853985
b'1\r\n',1582882098.7853985,1582882099.7697437
b'0\r\n',1582882099.7697437,1582882100.8009858
b'1\r\n',1582882100.8009858,1582882101.7927172
b'0\r\n',1582882101.7927172,1582882102.8083441
b'1\r\n',1582882102.8083441,1582882103.839592
b'0\r\n',1582882103.839592,1582882104.8239715
b'1\r\n',1582882104.8239715,1582882105.808344
b'0\r\n',1582882105.808344,1582882106.8395934
b'1\r\n',1582882106.8395934,1582882107.8708708
b'0\r\n',1582882107.8708708,1582882108.8552556
b'1\r\n',1582882108.8552556,1582882109.8864682
b'0\r\n',1582882109.8864682,1582882110.8708427
b'1\r\n',1582882110.8708427,1582882111.8937256
b'0\r\n',1582882111.8937256,1582882112.890097
b'1\r\n',1582882112.890097,1582882113.9213555
b'0\r\n',1582882113.9213555,1582882114.9525955
b'1\r\n',1582882114.9525955,1582882115.9369805
b'0\r\n',1582882115.9369805,1582882116.968226
b'1\r\n',1582882116.968226,1582882117.9525988
b'0\r\n',1582882117.9525988,1582882118.983844
b'1\r\n',1582882118.983844,1582882119.9682243
b'0\r\n',1582882119.9682243,1582882120.9997427
b'1\r\n',1582882120.9997427,1582882121.9684496
